0,No_action,No_new_comparative_trial,Prediction_Current_same_rule,Prediction_Voltage_Drop_same_rule,Confidence_Current_verify_prediction,Confidence_Voltage_Drop_verify_prediction,Rule_Current_Confirming_Redundancy,Rule_Voltage_Drop_Confirming_Redundancy,Post_test_Current_non_normative,Post_test_Voltage_Drop_non_normative,New_comparative_trial,Prediction_Current_Fill_up_gaps,Prediction_Voltage_Drop_Fill_up_gaps,Confidence_Current_falsify_prediction,Confidence_Voltage_Drop_falsify_prediction,Identify_problem_goal_stated,Rule_Current_Simultaneous_scanning,Rule_Voltage_Drop_Simultaneous_scanning,Rule_Current_Successive_scanning,Rule_Voltage_Drop_Successive_scanning,Rule_Current_Focus_gambling,Rule_Voltage_Drop_Focus_gambling,Rule_Current_Conservative_Focusing,Rule_Voltage_Drop_Conservative_Focusing,Post_test_Current_partial,Post_test_Voltage_Drop_partial,Post_test_Current_1_Valid_link,Post_test_Voltage_Drop_1_Valid_link,Post_test_Current_2_Valid_links,Post_test_Voltage_Drop_2_Valid_links
No_action,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No_new_comparative_trial,0.35*,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prediction_Current_same_rule,0.04,-0.12,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prediction_Voltage_Drop_same_rule,-0.11,-0.19,0.64*,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Confidence_Current_verify_prediction,-0.29*,-0.30*,0.78*,0.69*,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Confidence_Voltage_Drop_verify_prediction,-0.36*,-0.34*,0.62*,0.82*,0.71*,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Rule_Current_Confirming_Redundancy,0.42*,0.44*,0.42*,0.42*,0.30*,0.23,1.0,,,,,,,,,,,,,,,,,,,,,,,
Rule_Voltage_Drop_Confirming_Redundancy,0.26*,0.53*,0.25,0.22,0.10,0.13,0.75*,1.0,,,,,,,,,,,,,,,,,,,,,,
Post_test_Current_non_normative,0.36*,0.80*,0.05,-0.19,-0.16,-0.30*,0.47*,0.54*,1.0,,,,,,,,,,,,,,,,,,,,,
Post_test_Voltage_Drop_non_normative,0.35*,0.82*,-0.23,-0.26*,-0.41*,-0.40*,0.32*,0.46*,0.63*,1.0,,,,,,,,,,,,,,,,,,,,
New_comparative_trial,-0.35*,-1.00*,0.12,0.19,0.30*,0.34*,-0.44*,-0.53*,-0.80*,-0.82*,1.0,,,,,,,,,,,,,,,,,,,
Prediction_Current_Fill_up_gaps,-0.50*,-0.60*,-0.36*,0.12,0.03,0.22,-0.38*,-0.34*,-0.70*,-0.55*,0.60*,1.0,,,,,,,,,,,,,,,,,,
Prediction_Voltage_Drop_Fill_up_gaps,-0.51*,-0.51*,0.06,-0.17,0.30*,0.14,-0.43*,-0.52*,-0.51*,-0.51*,0.51*,0.40*,1.0,,,,,,,,,,,,,,,,,
Confidence_Current_falsify_prediction,-0.31*,-0.55*,-0.23,0.10,-0.14,0.19,-0.34*,-0.35*,-0.69*,-0.48*,0.55*,0.76*,0.44*,1.0,,,,,,,,,,,,,,,,
Confidence_Voltage_Drop_falsify_prediction,-0.37*,-0.47*,-0.03,-0.19,0.19,-0.13,-0.40*,-0.52*,-0.42*,-0.46*,0.47*,0.36*,0.80*,0.40*,1.0,,,,,,,,,,,,,,,
Identify_problem_goal_stated,-0.81*,-0.32*,-0.10,0.10,0.23,0.27*,-0.36*,-0.27*,-0.31*,-0.35*,0.32*,0.57*,0.43*,0.38*,0.28*,1.0,,,,,,,,,,,,,,
Rule_Current_Simultaneous_scanning,-0.22,-0.48*,0.55*,0.38*,0.62*,0.47*,-0.18,-0.33*,-0.28*,-0.53*,0.48*,0.09,0.49*,0.14,0.47*,0.14,1.0,,,,,,,,,,,,,
Rule_Voltage_Drop_Simultaneous_scanning,-0.31*,-0.55*,0.21,0.60*,0.42*,0.53*,-0.12,-0.25,-0.69*,-0.48*,0.55*,0.60*,0.26*,0.54*,0.26*,0.33*,0.36*,1.0,,,,,,,,,,,,
Rule_Current_Successive_scanning,-0.18,-0.60*,0.12,0.35*,0.24,0.41*,-0.29*,-0.43*,-0.74*,-0.50*,0.60*,0.49*,0.33*,0.48*,0.30*,0.03,0.43*,0.72*,1.0,,,,,,,,,,,
Rule_Voltage_Drop_Successive_scanning,-0.16,-0.47*,0.46*,0.37*,0.47*,0.51*,-0.20,-0.36*,-0.29*,-0.52*,0.47*,0.13,0.41*,0.17,0.33*,0.08,0.77*,0.31*,0.43*,1.0,,,,,,,,,,
Rule_Current_Focus_gambling,-0.13,-0.24,-0.12,-0.08,0.01,0.04,-0.07,-0.06,-0.29*,-0.15,0.24,0.35*,0.34*,0.39*,0.10,0.24,-0.17,0.00,-0.15,-0.16,1.0,,,,,,,,,
Rule_Voltage_Drop_Focus_gambling,-0.31*,-0.32*,-0.21,-0.36*,-0.13,-0.16,-0.40*,-0.38*,-0.31*,-0.26*,0.32*,0.25,0.49*,0.26*,0.35*,0.32*,0.00,-0.06,-0.02,-0.24,0.54*,1.0,,,,,,,,
Rule_Current_Conservative_Focusing,-0.60*,-0.25,-0.28*,-0.01,-0.00,0.12,-0.31*,-0.18,-0.31*,-0.27*,0.25,0.60*,0.26*,0.40*,0.12,0.78*,-0.18,0.34*,-0.04,-0.08,0.25,0.29*,1.0,,,,,,,
Rule_Voltage_Drop_Conservative_Focusing,-0.65*,-0.22,-0.11,-0.03,0.30*,0.13,-0.29*,-0.26*,-0.17,-0.24,0.22,0.35*,0.52*,0.22,0.44*,0.70*,0.30*,0.05,-0.06,0.08,0.31*,0.27*,0.28*,1.0,,,,,,
Post_test_Current_partial,0.21,-0.37*,-0.13,-0.00,-0.14,-0.07,-0.31*,-0.29*,-0.46*,-0.16,0.37*,0.16,-0.06,0.17,0.04,-0.35*,0.16,0.25,0.52*,0.06,-0.22,-0.11,-0.33*,-0.20,1.0,,,,,
Post_test_Voltage_Drop_partial,0.23,-0.35*,0.26*,0.31*,0.16,0.24,0.10,-0.03,-0.24,-0.47*,0.35*,0.13,-0.05,0.21,0.03,-0.26*,0.12,0.20,0.28*,0.40*,0.00,-0.34*,-0.10,-0.34*,0.22,1.0,,,,
Post_test_Current_1_Valid_link,0.04,-0.22,0.28*,0.11,0.26*,0.22,0.21,-0.06,-0.28*,-0.24,0.22,0.00,0.35*,0.12,0.23,-0.15,0.08,0.16,0.26*,0.25,0.31*,0.17,-0.08,-0.18,-0.30*,0.23,1.0,,,
Post_test_Voltage_Drop_1_Valid_link,-0.11,-0.18,-0.06,0.01,-0.08,0.00,-0.09,-0.21,-0.10,-0.19,0.18,0.15,0.04,0.09,0.04,0.18,0.08,0.14,0.12,0.08,0.00,0.18,0.11,0.02,-0.24,-0.27*,0.17,1.0,,
Post_test_Current_2_Valid_links,-0.68*,-0.28*,-0.15,0.12,0.11,0.22,-0.35*,-0.22,-0.34*,-0.30*,0.28*,0.59*,0.33*,0.47*,0.22,0.87*,0.06,0.34*,0.01,0.04,0.31*,0.32*,0.80*,0.57*,-0.37*,-0.18,-0.22,0.23,1.0,
Post_test_Voltage_Drop_2_Valid_links,-0.53*,-0.30*,-0.03,-0.09,0.29*,0.13,-0.37*,-0.28*,-0.29*,-0.33*,0.30*,0.29*,0.54*,0.18,0.39*,0.52*,0.34*,0.15,0.10,0.01,0.15,0.52*,0.31*,0.62*,0.08,-0.47*,-0.13,-0.19,0.35*,1.0
