1_bulbs_equal,2_bulbs_equal,1_vs._2_bulbs_different,Battery_voltage_equal,Battery_voltage_differnt,Resistance_change:_1_or_2_bulbs,Resistance_change:_2_bulbs,Resistance_equal:_2_bulbs_different_vlaue,Resistance_equal:_2_or_1_vs._2_bulbs_same_vlaue,Resistance_equal:_1_bulb,Resistance_equal:_2_bulbs_different_value_&_position,Ammeter_equal:_after_before_1_or_2_bulb,Ammeter_different:_before_vs._after_1_or_2_bulbs,Ammeter_different:_on_high_low_of_2_bulb,Voltmeter_equal:_1_bulb_or_2_bulbs_or_battery,Voltmeter_equal:_2_bulbs,Voltmeter_different:_high_vs._low_resistance_2_bulbs,Voltmeter_different:_high_vs._low_resistance_2_bulbs_vs._battery,No_action
2,0,0,0,2,2,0,0,0,0,0,2,0,0,1,0,0,0,1
1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
0,2,0,2,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0
2,2,0,3,1,1,0,1,1,1,0,2,2,0,2,0,0,0,2
1,1,0,2,0,1,0,1,0,0,0,0,2,0,2,0,0,0,0
3,1,0,3,1,2,0,1,0,1,0,2,2,0,3,0,1,1,0
0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0
1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
0,3,0,3,0,0,0,3,0,0,0,1,0,2,1,0,2,1,0
1,3,0,4,0,0,0,3,0,1,0,2,1,1,2,0,2,1,0
1,0,1,2,0,1,0,0,0,1,0,2,0,0,2,0,0,0,0
2,2,0,3,1,0,1,0,1,2,0,2,1,1,3,0,1,0,0
1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
2,1,0,3,0,1,0,1,0,1,0,0,2,1,3,0,0,0,0
1,0,1,2,0,1,0,0,0,1,0,1,1,0,2,0,0,0,0
0,1,3,4,0,2,0,2,0,0,0,2,1,1,4,0,0,0,0
0,2,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0
0,1,1,2,0,0,1,0,1,0,0,1,0,1,2,0,0,0,0
0,3,1,4,0,1,0,2,1,0,0,2,1,1,3,0,1,0,0
1,1,0,2,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0
1,0,1,2,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0
1,1,0,2,0,0,0,1,0,1,0,0,1,1,2,0,0,0,0
1,1,0,2,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0
2,2,1,5,0,1,3,0,0,1,0,2,3,0,5,0,0,0,0
1,1,0,2,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0
1,2,0,3,0,1,1,1,0,0,0,1,1,1,3,1,0,0,0
1,1,0,2,0,0,0,0,1,1,0,1,1,0,2,0,0,0,0
0,2,0,2,0,0,0,2,0,0,0,0,1,1,0,0,2,1,0
0,1,1,2,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0
0,2,0,2,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0
1,1,0,1,1,0,0,1,0,1,0,1,1,0,2,0,0,0,0
1,1,0,1,1,1,0,0,1,0,0,2,0,0,2,0,0,0,0
1,2,0,2,1,0,1,1,0,1,0,2,1,0,2,0,1,0,0
3,2,0,4,1,0,0,1,1,3,1,4,1,0,4,1,1,0,0
4,0,0,3,1,3,0,0,0,1,0,1,3,0,4,0,0,0,0
3,0,2,3,2,0,0,0,1,3,0,4,1,0,5,0,1,0,0
1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
0,0,3,1,2,0,0,0,3,0,0,1,2,0,3,0,0,0,0
2,0,0,1,1,0,0,0,0,2,0,1,1,0,2,0,0,0,0
2,0,0,1,1,0,0,0,0,2,0,1,1,0,2,0,0,0,0
0,2,1,3,0,1,0,2,0,0,0,3,0,0,2,0,1,0,0
2,2,0,2,2,0,0,1,1,2,0,3,1,0,4,2,0,0,0
1,1,0,2,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0
2,0,0,1,1,0,0,0,0,2,0,1,1,0,2,0,0,0,0
0,2,1,3,0,1,0,1,1,0,0,2,1,0,2,0,1,0,0
1,0,1,2,0,1,0,0,0,1,0,1,1,0,2,0,0,0,0
1,2,1,3,1,2,0,0,1,1,0,2,2,0,4,0,0,0,0
3,0,1,4,0,0,1,0,0,3,0,2,2,0,2,0,2,2,0